delay,equal_phase_mean,equal_phase_ci95_low,equal_phase_ci95_high,drive_orthogonal_mean,drive_orthogonal_ci95_low,drive_orthogonal_ci95_high,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,paired_wins
1,0.999789636460458,0.999727061205192,0.9998522117157241,0.9987824689031374,0.9985550051102051,0.9990099326960696,0.0010071675573207854,0.0007840619814442152,0.0012302731331973557,24
2,0.9980922255446534,0.9974819046952937,0.998702546394013,0.9925839400705021,0.9910489195758875,0.9941189605651167,0.0055082854741512295,0.0041029335793090465,0.0069136373689934125,23
3,0.9922354182132805,0.9896146487619238,0.9948561876646372,0.9780577734093052,0.9732105605204137,0.9829049862981968,0.014177644803975464,0.009545995955632804,0.018809293652318124,23
4,0.9777816121714217,0.9690215778257442,0.9865416465170992,0.95161771615677,0.9426129678524984,0.9606224644610417,0.026163896014651643,0.015276322892180958,0.03705146913712233,21
5,0.9504896923473837,0.9324973794590701,0.9684820052356973,0.9120840365856736,0.9001442170356662,0.924023856135681,0.03840565576170998,0.020245962560791333,0.05656534896262862,19
6,0.9075187481351291,0.876025966537277,0.9390115297329812,0.8542158215384908,0.8370302469315488,0.8714013961454329,0.05330292659663812,0.0248741643158074,0.08173168887746884,18
7,0.8566954622760313,0.8132655634522328,0.9001253610998299,0.7904914830462918,0.7693687404086955,0.8116142256838881,0.06620397922973935,0.03011945956711555,0.10228849889236315,18
8,0.8037742309239473,0.7556906937355085,0.8518577681123861,0.7356151218389856,0.7119346496400976,0.7592955940378736,0.06815910908496163,0.02643083381491606,0.1098873843550072,18
9,0.7562030536302068,0.7083186140750973,0.8040874931853162,0.6602671256096205,0.6306407868534787,0.6898934643657624,0.09593592802058633,0.055424460085024316,0.13644739595614835,18
10,0.7082517591162848,0.6603000858146298,0.7562034324179397,0.5911915764735812,0.5606538280700013,0.6217293248771611,0.11706018264270357,0.07219769891951933,0.1619226663658878,20
11,0.6592232306693367,0.6126396726922253,0.7058067886464482,0.5330942189925241,0.5049828817586047,0.5612055562264434,0.12612901167681256,0.08078105430018712,0.171476969053438,20
12,0.6132426399042006,0.5700053922749252,0.656479887533476,0.4626783659013662,0.43846367560386745,0.4868930561988649,0.15056427400283437,0.10582179381665728,0.19530675418901144,20
13,0.5732139237161572,0.5379795501225088,0.6084482973098057,0.40692738306088866,0.3782503927590918,0.43560437336268554,0.16628654065526854,0.12145510725557643,0.21111797405496066,21
14,0.5221451658046895,0.4881293749974908,0.5561609566118881,0.34519204750701427,0.3169107899326208,0.37347330508140775,0.1769531182976752,0.1334271148165454,0.22047912177880502,23
15,0.48909381699923865,0.4596923759075054,0.5184952580909719,0.29745691957100945,0.2651803667859043,0.3297334723561146,0.1916368974282292,0.14921785926086498,0.23405593559559343,23
16,0.44116318814818717,0.41231097882937257,0.47001539746700177,0.24853608682399578,0.21346170083997854,0.283610472808013,0.1926271013241914,0.15513675685247788,0.2301174457959049,24
17,0.3998190421638365,0.3663446144884901,0.43329346983918293,0.2122560087810672,0.1797095106612776,0.2448025069008568,0.18756303338276928,0.15326501675579104,0.2218610500097475,24
18,0.3658453563923345,0.3339056751401143,0.3977850376445547,0.16030874920799632,0.1313746316236056,0.18924286679238703,0.20553660718433822,0.17329704081953273,0.2377761735491437,24
19,0.33252843385003716,0.29962820273901847,0.36542866496105586,0.13584381886132724,0.1031147389601624,0.16857289876249207,0.19668461498870993,0.16713355907874658,0.22623567089867327,24
20,0.2787384999879061,0.2438688629618994,0.3136081370139128,0.08715190087585652,0.06339109850383678,0.11091270324787625,0.19158659911204956,0.1643576101656207,0.21881558805847842,24
