environment,gamma_1,gamma_2,total_decay_budget,delay,capacity
balanced,0.4,0.6,1.0,0,0.8646647167633912
balanced,0.4,0.6,1.0,1,0.27078148116605943
balanced,0.4,0.6,1.0,2,0.265179747774073
balanced,0.4,0.6,1.0,3,0.22821723573215477
balanced,0.4,0.6,1.0,4,0.15961532250210797
balanced,0.4,0.6,1.0,5,0.0978196265752576
balanced,0.4,0.6,1.0,6,0.05509229140479063
balanced,0.4,0.6,1.0,7,0.029315495906516074
balanced,0.4,0.6,1.0,8,0.014989654513128354
balanced,0.4,0.6,1.0,9,0.007445863158990379
balanced,0.4,0.6,1.0,10,0.003619702015456067
balanced,0.4,0.6,1.0,11,0.0017310691052850134
balanced,0.4,0.6,1.0,12,0.0008174593840754885
balanced,0.4,0.6,1.0,13,0.0003822366159069548
balanced,0.4,0.6,1.0,14,0.000177345981293906
balanced,0.4,0.6,1.0,15,8.177670326368433e-05
balanced,0.4,0.6,1.0,16,3.7522962487056795e-05
balanced,0.4,0.6,1.0,17,1.7149327513763486e-05
balanced,0.4,0.6,1.0,18,7.8129275982848e-06
balanced,0.4,0.6,1.0,19,3.5502834521498382e-06
balanced,0.4,0.6,1.0,20,1.6099309769604883e-06
heterogeneous,0.05,0.95,1.0,0,0.8646647167633875
heterogeneous,0.05,0.95,1.0,1,0.14935706118281822
heterogeneous,0.05,0.95,1.0,2,0.07810258938700405
heterogeneous,0.05,0.95,1.0,3,0.07598526664480794
heterogeneous,0.05,0.95,1.0,4,0.07464320595197922
heterogeneous,0.05,0.95,1.0,5,0.07029470716250912
heterogeneous,0.05,0.95,1.0,6,0.06470669105117838
heterogeneous,0.05,0.95,1.0,7,0.058967382840977633
heterogeneous,0.05,0.95,1.0,8,0.053511764472877116
heterogeneous,0.05,0.95,1.0,9,0.048477082616333975
heterogeneous,0.05,0.95,1.0,10,0.04388512533853427
heterogeneous,0.05,0.95,1.0,11,0.03971672644849769
heterogeneous,0.05,0.95,1.0,12,0.03594005909903653
heterogeneous,0.05,0.95,1.0,13,0.03252096950975292
heterogeneous,0.05,0.95,1.0,14,0.029426579774402103
heterogeneous,0.05,0.95,1.0,15,0.02662641382736578
heterogeneous,0.05,0.95,1.0,16,0.024092628279781324
heterogeneous,0.05,0.95,1.0,17,0.021799930968659682
heterogeneous,0.05,0.95,1.0,18,0.01972540038875595
heterogeneous,0.05,0.95,1.0,19,0.01784828298330651
heterogeneous,0.05,0.95,1.0,20,0.016149795256975318
