heldout_seed,uniform_error_from_other_seeds,candidate_count,shortlist_size,training_saving,contains_oracle,shortlist_regret,shortlist_alphas,task
0,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"1,10"
0,0.020261407458048997,4,3,0.25,True,0.0,0.25;0.5;0.75,"1,2"
0,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"1,5"
0,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"10,20"
0,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"15,25"
0,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"5,10"
0,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"5,15"
1,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"1,10"
1,0.020261407458048997,4,1,0.75,True,0.0,0.75,"1,2"
1,0.020261407458048997,4,1,0.75,True,0.0,0.75,"1,5"
1,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"10,20"
1,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"15,25"
1,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"5,10"
1,0.020261407458048997,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"5,15"
2,0.0106729034918231,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"1,10"
2,0.0106729034918231,4,1,0.75,True,0.0,0.75,"1,2"
2,0.0106729034918231,4,1,0.75,True,0.0,0.75,"1,5"
2,0.0106729034918231,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"10,20"
2,0.0106729034918231,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"15,25"
2,0.0106729034918231,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"5,10"
2,0.0106729034918231,4,4,0.0,True,0.0,0;0.25;0.5;0.75,"5,15"
