seed,task,candidate_count,predicted_best_alpha,empirical_best_alpha,oracle_score,proxy_selected_score,proxy_regret,local_score,most_collective_score,random_candidate_expected_score,proxy_gain_vs_local,proxy_gain_vs_most_collective,proxy_gain_vs_random_expected,spearman,kendall,pairwise_accuracy,max_absolute_score_error,mean_absolute_score_error,top1_contains_oracle,top1_regret,top1_training_saving,top2_contains_oracle,top2_regret,top2_training_saving,top3_contains_oracle,top3_regret,top3_training_saving,top4_contains_oracle,top4_regret,top4_training_saving
0,"1,10",4,0.75,0.0,0.0476849234890417,0.044480775621958,0.003204147867083701,0.0476849234890417,0.044480775621958,0.04561620903497353,-0.003204147867083701,0.0,-0.0011354334130155297,-0.7999999999999999,-0.6666666666666669,0.16666666666666666,0.0099889907776377,0.007614867516311949,False,0.003204147867083701,0.75,False,0.003204147867083701,0.5,False,0.0017759225078584975,0.25,True,0.0,0.0
0,"1,2",4,0.75,0.75,0.2376289658151796,0.2376289658151796,0.0,0.1942588038317185,0.2376289658151796,0.22137002504729125,0.04337016198346108,0.0,0.016258940767888336,1.0,1.0,1.0,0.0038786119595230206,0.0020336401871835635,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
0,"1,5",4,0.75,0.75,0.0581470065106121,0.0581470065106121,0.0,0.0474747332625172,0.0581470065106121,0.0530964280478319,0.010672273248094902,0.0,0.005050578462780203,1.0,1.0,1.0,0.0106729034918231,0.009319918607268525,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
0,"10,20",4,0.0,0.0,0.0048035313611625,0.0048035313611625,0.0,0.0048035313611625,0.0011564593533444,0.0030337318222593748,0.0,0.0036470720078181,0.001769799538903125,1.0,1.0,1.0,0.0024542743805367998,0.00203318112343845,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
0,"15,25",4,0.0,0.0,0.0015999590853664,0.0015999590853664,0.0,0.0015999590853664,0.0005471839283421,0.00104786432956305,0.0,0.0010527751570243,0.00055209475580335,1.0,1.0,1.0,0.0007403655164481,0.0006627281958432751,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
0,"5,10",4,0.25,0.25,0.0391154962997398,0.0391154962997398,0.0,0.0371983420886685,0.0341305521355011,0.03723293891542257,0.0019171542110713036,0.004984944164238704,0.0018825573843172308,0.7999999999999999,0.6666666666666669,0.8333333333333334,0.0022353051460778997,0.0015489922722425244,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
0,"5,15",4,0.0,0.0,0.0051988790423329,0.0051988790423329,0.0,0.0051988790423329,0.0017616254120758,0.003406851680180375,0.0,0.0034372536302571003,0.0017920273621525253,1.0,1.0,1.0,0.004598578129524,0.00414480221326755,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
1,"1,10",4,0.0,0.75,0.0237664334817458,0.0232628772129813,0.000503556268764499,0.0232628772129813,0.0237664334817458,0.022503877838632724,0.0,-0.000503556268764499,0.0007589993743485762,0.0,0.0,0.5,0.006705325778604901,0.003783325237416325,False,0.000503556268764499,0.75,False,0.000503556268764499,0.5,True,0.0,0.25,True,0.0,0.0
1,"1,2",4,0.75,0.75,0.2205567598599536,0.2205567598599536,0.0,0.1395195902304858,0.2205567598599536,0.1614722233229965,0.0810371696294678,0.0,0.05908453653695711,1.0,1.0,1.0,0.009012304544377181,0.004996275919097896,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
1,"1,5",4,0.75,0.75,0.1113193956672045,0.1113193956672045,0.0,0.0565451865298329,0.1113193956672045,0.07010283947351426,0.054774209137371604,0.0,0.041216556193690246,1.0,1.0,1.0,0.0025191369936688954,0.0018636022290970233,True,0.0,0.75,True,0.0,0.5,True,0.0,0.25,True,0.0,0.0
