seed,alpha,gamma,task,predicted_capacity,empirical_test_r2,empirical_test_corr2
0,0.0,0.09999999997873847,"1,2",0.19038019187219557,0.19289150360531337,0.19425880383171854
0,0.0,0.09999999997873847,"1,5",0.05814763675434033,0.04724770372269971,0.047474733262517235
0,0.0,0.09999999997873847,"1,10",0.05238772866663897,0.04760762535034424,0.04768492348904176
0,0.0,0.09999999997873847,"5,10",0.03635131989141599,0.036739743585230245,0.03719834208866857
0,0.0,0.09999999997873847,"5,15",0.008702364322626126,0.004063709366224355,0.005198879042332964
0,0.0,0.09999999997873847,"10,20",0.006298905172641493,0.0036546614976894487,0.004803531361162557
0,0.0,0.09999999997873847,"15,25",0.0023037095527370043,-0.001134069150937611,0.0015999590853664329
0,0.25,0.11396080518844584,"1,2",0.21552500982626663,0.21711837553578772,0.21829721195216106
0,0.25,0.11396080518844584,"1,5",0.06089363702767178,0.05148082214476901,0.05158220813799055
0,0.25,0.11396080518844584,"1,10",0.05264557900263614,0.045706260337932236,0.045909000981183244
0,0.25,0.11396080518844584,"5,10",0.03718170859075986,0.038673843923736295,0.03911549629973989
0,0.25,0.11396080518844584,"5,15",0.00824686853387094,0.0025190471405324155,0.00400535372278855
0,0.25,0.11396080518844584,"10,20",0.0058367073426768,0.0020605664968915693,0.003806686289932055
0,0.25,0.11396080518844584,"15,25",0.0019703898608980225,-0.001686717233731816,0.001230024344449989
0,0.5,0.13259222837799617,"1,2",0.23407585820729435,0.23427191539864067,0.23529511859010593
0,0.5,0.13259222837799617,"1,5",0.06336380788138944,0.05511088659493413,0.05518176428020785
0,0.5,0.13259222837799617,"1,10",0.053421232136271264,0.04409040335322434,0.04439013604771124
0,0.5,0.13259222837799617,"5,10",0.036252059991703056,0.03800965362557662,0.0384873651377809
0,0.5,0.13259222837799617,"5,15",0.007260126673048386,0.000302727268317593,0.002661548543524369
0,0.5,0.13259222837799617,"10,20",0.004822524665135471,-0.0004804006598679855,0.0023682502845986738
0,0.5,0.13259222837799617,"15,25",0.0015299702017671265,-0.002212725218597722,0.0008142899600938587
0,0.75,0.15898133838263404,"1,2",0.23789345209568485,0.2368724810747438,0.23762896581517967
0,0.75,0.15898133838263404,"1,5",0.06726030495700039,0.057972979744270625,0.058147006510612165
0,0.75,0.15898133838263404,"1,10",0.05446976639959573,0.04423500572549055,0.044480775621958075
0,0.75,0.15898133838263404,"5,10",0.0329506980988415,0.033558925527596095,0.0341305521355011
0,0.75,0.15898133838263404,"5,15",0.005997256044246433,-0.002116135938215802,0.0017616254120758192
0,0.75,0.15898133838263404,"10,20",0.003309514602337745,-0.0032748695441691122,0.0011564593533444896
